,Frame,MeanR,VarR,MinR,Q1R,MedR,Q3R,MaxR,SkewR,KurtR,PtsR,MeanSig,VarSig,MinSig,Q1Sig,MedSig,Q3Sig,MaxSig,SkewSig,KurtSig,PtsSig,MeanRef,VarRef,MinRef,Q1Ref,MedRef,Q3Ref,MaxRef,SkewRef,KurtRef,PtsRef,MeanIR,VarIR,MinIR,Q1IR,MedIR,Q3IR,MaxIR,SkewIR,KurtIR,PtsIR
0,29.5,72.94663031914894,229.86583277856252,1.0,1.0,1.0,1.0,945.26,2.8849247094890025,6.476990452247938,1397.82,47.515279255319136,177.51966692564235,1.0,3.0,3.0,5.0,3278.14,7.8009320423034705,80.41156664442036,13696.76,6.210094414893616,22.38229571075306,1.0,1.0,1.0,1.0,255.0,5.445157664732059,33.93490454424913,2513.52,757.3170146276593,318.76411513671553,1.0,614.415,807.07,941.465,2042.0,-0.5435419073738685,1.4811678813398053,13723.0
1,29.5,84.3871875,247.25165162916556,1.0,1.0,1.0,1.0,944.48,2.6304517183362766,5.039808437559085,1590.18,39.883313829787234,149.6534266707175,1.0,2.155,3.0,5.0,3274.7,8.529559084983553,103.09723342294654,13699.34,5.277190159574468,19.90678083054308,1.0,1.0,1.0,1.0,255.0,5.808347891273154,38.960860673884575,2317.3,804.463369680851,337.6171091138253,1.0,648.13,853.15,1016.83,2061.42,-0.6588929717161931,1.1141291416115395,13723.0
2,29.5,77.45275132978722,233.7062271552904,1.0,1.0,1.0,1.0,953.22,2.7608646118753297,5.836526531773455,1524.46,45.130388297872344,170.32462275431004,1.0,2.0,3.0,4.665,3246.02,7.964087250496589,84.31821245919258,13643.48,5.751058510638297,21.36459449346379,1.0,1.0,1.0,1.0,255.0,5.781231196093836,38.18602848573059,2675.92,612.7640146276594,289.0645070003166,1.0,456.71,635.55,773.305,1907.12,-0.005906335011077535,1.2625920244794435,13723.0
