,Time,Data
0,127,2030.11
1,128,2022.7967484062985
2,129,2015.5486485378685
3,130,2008.365266008131
4,131,2001.2461664305044
5,132,1994.190915418409
6,133,1987.1990785852647
7,134,1980.2702215444904
8,135,1973.403909909507
9,136,1966.599709293734
10,137,1959.857185310591
11,138,1953.175903573497
12,139,1946.5554296958726
13,140,1939.9953292911378
14,141,1933.495167972712
15,142,1927.0545113540143
16,143,1920.6729250484652
17,144,1914.3499746694845
18,145,1908.0852258304915
19,146,1901.8782441449061
20,147,1895.7285952261484
21,148,1889.6358446876377
22,149,1883.5995581427935
23,150,1877.6193012050367
24,151,1871.6946394877864
25,152,1865.8251386044617
26,153,1860.0103641684827
27,154,1854.24988179327
28,155,1848.5432570922426
29,156,1842.8900556788203
30,157,1837.289843166423
31,158,1831.74218516847
32,159,1826.2466472983822
33,160,1820.8027951695778
34,161,1815.4101943954772
35,162,1810.0684105895011
36,163,1804.777009365068
37,164,1799.5355563355984
38,165,1794.3436171145113
39,166,1789.200757315227
40,167,1784.1065425511654
41,168,1779.0605384357455
42,169,1774.062310582388
43,170,1769.1114246045117
44,171,1764.207446115537
45,172,1759.349940728884
46,173,1754.5384740579714
47,174,1749.7726117162197
48,175,1745.051919317048
49,176,1740.3759624738768
50,177,1735.7443068001257
51,178,1731.156517909214
52,179,1726.612161414562
53,180,1722.1108029295892
54,181,1717.6520080677153
55,182,1713.2353424423598
56,183,1708.8603716669431
57,184,1704.5266613548838
58,185,1700.2337771196035
59,186,1695.9812845745203
60,187,1691.7687493330545
61,188,1687.5957370086262
62,189,1683.461813214655
63,190,1679.3665435645603
64,191,1675.3094936717614
65,192,1671.2902291496796
66,193,1667.3083156117334
67,194,1663.363318671343
68,195,1659.454803941928
69,196,1655.582337036908
70,197,1651.745483569703
71,198,1647.943809153733
72,199,1644.1768794024167
73,200,1640.4442599291756
74,201,1636.7455163474278
75,202,1633.0802142705936
76,203,1629.4479193120933
77,204,1625.8481970853463
78,205,1622.280613203772
79,206,1618.7447332807901
80,207,1615.240122929821
81,208,1611.7663477642839
82,209,1608.3229733975988
83,210,1604.9095654431856
84,211,1601.5256895144637
85,212,1598.1709112248534
86,213,1594.8447961877735
87,214,1591.5469100166442
88,215,1588.276818324886
89,216,1585.0340867259176
90,217,1581.8182808331592
91,218,1578.6289662600304
92,219,1575.465708619951
93,220,1572.3280735263415
94,221,1569.21562659262
95,222,1566.1279334322076
96,223,1563.0645596585239
97,224,1560.0250708849883
98,225,1557.0090327250205
99,226,1554.0160107920406
100,227,1551.045570699468
101,228,1548.0972780607226
102,229,1545.1706984892244
103,230,1542.2653975983924
104,231,1539.3809410016474
105,232,1536.5168943124083
106,233,1533.6728231440954
107,234,1530.8482931101285
108,235,1528.0428698239264
109,236,1525.2561188989096
110,237,1522.487605948498
111,238,1519.7368965861108
112,239,1517.0035564251687
113,240,1514.28715107909
114,241,1511.587246161296
115,242,1508.9034072852055
116,243,1506.2352000642381
117,244,1503.5821901118145
118,245,1500.9439430413536
119,246,1498.3200244662755
120,247,1495.71
121,248,1493.1134352559461
122,249,1490.5298958475346
123,250,1487.958947388185
124,251,1485.4001554913168
125,252,1482.8530857703495
126,253,1480.3173038387033
127,254,1477.792375309798
128,255,1475.277865797053
129,256,1472.7733409138884
130,257,1470.278366273724
131,258,1467.7925074899788
132,259,1465.3153301760733
133,260,1462.8463999454268
134,261,1460.3852824114597
135,262,1457.9315431875912
136,263,1455.484747887241
137,264,1453.0444621238291
138,265,1450.6102515107752
139,266,1448.1816816614992
140,267,1445.7583181894206
141,268,1443.339726707959
142,269,1440.9254728305345
143,270,1438.5151221705669
144,271,1436.1082403414755
145,272,1433.7043929566805
146,273,1431.3031456296014
147,274,1428.9040639736584
148,275,1426.5067136022706
149,276,1424.110660128858
150,277,1421.7154691668402
151,278,1419.3207063296377
152,279,1416.9259372306692
153,280,1414.5307274833553
154,281,1412.134642701115
155,282,1409.7372484973687
156,283,1407.338110485536
157,284,1404.936794279036
158,285,1402.5328654912896
159,286,1400.1258897357156
160,287,1397.7154326257341
161,288,1395.3010597747648
162,289,1392.882336796228
163,290,1390.4588293035424
164,291,1388.0301029101286
165,292,1385.5957232294056
166,293,1383.155255874794
167,294,1380.7082664597128
168,295,1378.2543205975824
169,296,1375.792983901822
170,297,1373.3238219858524
171,298,1370.8464004630916
172,299,1368.360284946961
173,300,1365.865041050879
174,301,1363.3602343882662
175,302,1360.845430572542
176,303,1358.3201952171266
177,304,1355.7840939354398
178,305,1353.2366923409004
179,306,1350.6775560469289
180,307,1348.1062506669448
181,308,1345.5223418143682
182,309,1342.9253951026183
183,310,1340.3149761451152
184,311,1337.6906505552788
185,312,1335.0519839465287
186,313,1332.3985419322846
187,314,1329.7298901259662
188,315,1327.0455941409932
189,316,1324.3452195907855
190,317,1321.6283320887628
191,318,1318.894497248345
192,319,1316.1432806829516
193,320,1313.3742480060023
194,321,1310.5869648309172
195,322,1307.780996771116
196,323,1304.955909440018
197,324,1302.1112684510433
198,325,1299.2466394176117
199,326,1296.3615879531428
200,327,1293.4556796710567
201,328,1290.5284801847727
202,329,1287.579555107711
203,330,1284.6084700532904
204,331,1281.6147906349315
205,332,1278.5980824660542
206,333,1275.5579111600778
207,334,1272.4938423304218
208,335,1269.4054415905068
209,336,1266.2922745537517
210,337,1263.1539068335767
211,338,1259.9899040434018
212,339,1256.7998317966462
213,340,1253.5832557067295
214,341,1250.339741387072
215,342,1247.0688544510938
216,343,1243.7701605122138
217,344,1240.4432251838518
218,345,1237.0876140794282
219,346,1233.702892812362
220,347,1230.2886269960736
221,348,1226.8443822439824
222,349,1223.3697241695081
223,350,1219.8642183860711
224,351,1216.3274305070904
225,352,1212.7589261459857
226,353,1209.1582709161771
227,354,1205.525030431084
228,355,1201.858770304127
229,356,1198.159056148725
230,357,1194.425453578298
231,358,1190.6575282062656
232,359,1186.8548456460483
233,360,1183.0169715110646
234,361,1179.1434714147356
235,362,1175.2339109704799
236,363,1171.287855791718
237,364,1167.304871491869
238,365,1163.2845236843536
239,366,1159.2263779825903
240,367,1155.13
241,368,1150.9951698233879
242,369,1146.8225254331026
243,370,1142.6129192828785
244,371,1138.3672038264503
245,372,1134.0862315175527
246,373,1129.7708548099208
247,374,1125.4219261572882
248,375,1121.0402980133902
249,376,1116.626822831961
250,377,1112.1823530667355
251,378,1107.707741171448
252,379,1103.2038395998331
253,380,1098.6715008056253
254,381,1094.1115772425596
255,382,1089.5249213643704
256,383,1084.9123856247923
257,384,1080.2748224775594
258,385,1075.6130843764067
259,386,1070.9280237750688
260,387,1066.2204931272802
261,388,1061.4913448867753
262,389,1056.741431507289
263,390,1051.971605442556
264,391,1047.1827191463105
265,392,1042.3756250722872
266,393,1037.5511756742208
267,394,1032.710223405846
268,395,1027.8536207208965
269,396,1022.982220073108
270,397,1018.0968739162146
271,398,1013.198434703951
272,399,1008.2877548900512
273,400,1003.3656869282507
274,401,998.4330832722837
275,402,993.4907963758845
276,403,988.539678692788
277,404,983.5805826767287
278,405,978.6143607814412
279,406,973.6418654606601
280,407,968.6639491681198
281,408,963.681464357555
282,409,958.6952634827003
283,410,953.7061989972904
284,411,948.7151233550599
285,412,943.7228890097427
286,413,938.7303484150744
287,414,933.7383540247889
288,415,928.7477582926211
289,416,923.7594136723052
290,417,918.7741726175764
291,418,913.7928875821688
292,419,908.816411019817
293,420,903.8455953842557
294,421,898.8812931292197
295,422,893.9243567084432
296,423,888.9756385756606
297,424,884.035991184607
298,425,879.106266989017
299,426,874.1873184426247
300,427,869.2799979991655
